shape_number,point,x,y
0,0,190,387
0,1,190,387
0,2,190,388
0,3,190,388
0,4,190,388
0,5,190,388
0,6,190,388
0,7,190,389
0,8,190,389
0,9,190,389
0,10,190,389
0,11,190,390
0,12,190,390
0,13,190,391
0,14,190,392
0,15,190,392
0,16,191,393
0,17,191,393
0,18,191,394
0,19,191,394
0,20,192,396
0,21,192,397
0,22,192,397
0,23,192,397
0,24,192,397
0,25,193,398
0,26,193,399
0,27,193,401
0,28,193,401
0,29,194,402
0,30,194,402
0,31,194,403
0,32,195,405
0,33,195,405
0,34,195,405
0,35,195,407
0,36,195,407
0,37,195,408
0,38,196,409
0,39,196,410
0,40,197,412
0,41,198,414
0,42,198,415
0,43,198,416
0,44,199,418
0,45,199,419
0,46,201,421
0,47,201,422
0,48,201,422
0,49,201,424
0,50,203,427
0,51,203,429
0,52,204,431
0,53,205,432
0,54,206,437
0,55,206,437
0,56,208,441
0,57,209,443
0,58,210,445
0,59,212,449
0,60,212,449
0,61,213,452
0,62,214,455
0,63,215,458
0,64,216,460
0,65,217,463
0,66,218,465
0,67,220,468
0,68,221,471
0,69,222,474
0,70,225,481
0,71,225,484
0,72,227,487
0,73,228,489
0,74,229,494
0,75,230,497
0,76,233,503
0,77,234,509
0,78,237,515
0,79,240,520
0,80,240,525
0,81,242,530
0,82,244,533
0,83,246,538
0,84,248,544
0,85,251,553
0,86,252,556
0,87,254,560
0,88,256,565
0,89,257,569
0,90,261,578
0,91,263,583
0,92,265,587
0,93,267,593
0,94,270,602
0,95,272,608
0,96,274,611
0,97,276,617
0,98,277,621
0,99,280,632
0,100,282,635
0,101,284,641
0,102,287,648
0,103,289,654
0,104,291,659
0,105,295,668
0,106,296,672
0,107,298,677
0,108,300,681
0,109,304,690
0,110,304,693
0,111,306,698
0,112,308,701
0,113,310,709
0,114,312,711
0,115,314,719
0,116,315,721
0,117,317,724
0,118,317,726
0,119,320,732
0,120,321,735
0,121,323,739
0,122,324,741
0,123,326,745
0,124,326,746
0,125,329,750
0,126,329,751
0,127,331,755
0,128,331,756
0,129,332,759
0,130,333,759
0,131,333,761
0,132,333,762
0,133,334,763
0,134,334,763
0,135,334,764
0,136,335,764
0,137,335,766
0,138,335,766
0,139,335,766
0,140,335,766
0,141,335,767
0,142,335,767
0,143,335,767
0,144,335,767
0,145,335,767
0,146,335,767
0,147,335,767
0,148,335,767
0,149,335,767
0,150,335,767
0,151,335,767
0,152,335,767
0,153,335,767
0,154,335,767
0,155,335,767
0,156,336,767
0,157,336,767
0,158,336,766
0,159,336,765
0,160,337,764
0,161,337,764
0,162,338,763
0,163,338,761
0,164,339,757
0,165,340,755
0,166,342,751
0,167,344,747
0,168,346,745
0,169,349,739
0,170,350,737
0,171,353,731
0,172,355,728
0,173,358,720
0,174,360,717
0,175,363,710
0,176,367,704
0,177,369,699
0,178,372,691
0,179,375,687
0,180,380,679
0,181,381,674
0,182,385,666
0,183,391,656
0,184,393,651
0,185,397,643
0,186,399,637
0,187,403,627
0,188,408,618
0,189,409,615
0,190,414,604
0,191,419,594
0,192,420,591
0,193,424,580
0,194,427,576
0,195,431,566
0,196,436,557
0,197,441,548
0,198,443,544
0,199,447,534
0,200,452,525
0,201,453,522
0,202,457,514
0,203,461,505
0,204,464,500
0,205,468,494
0,206,470,490
0,207,475,481
0,208,477,475
0,209,480,469
0,210,482,465
0,211,484,460
0,212,487,455
0,213,490,450
0,214,490,448
0,215,492,445
0,216,494,441
0,217,495,439
0,218,497,437
0,219,498,435
0,220,499,434
0,221,500,433
0,222,501,431
0,223,501,431
0,224,501,430
0,225,501,430
0,226,502,430
0,227,502,430
0,228,502,430
0,229,502,430
0,230,502,430
0,231,502,430
0,232,502,430
0,233,502,430
0,234,502,430
0,235,502,430
0,236,502,430
0,237,502,430
0,238,502,430
0,239,502,430
0,240,502,430
0,241,502,430
0,242,502,430
0,243,502,430
0,244,502,431
0,245,504,433
0,246,504,434
0,247,505,437
0,248,506,441
0,249,506,444
0,250,508,449
0,251,508,451
0,252,510,454
0,253,511,461
0,254,511,465
0,255,512,469
0,256,513,474
0,257,514,479
0,258,514,484
0,259,516,489
0,260,517,494
0,261,518,499
0,262,520,504
0,263,520,509
0,264,523,516
0,265,523,521
0,266,525,526
0,267,527,532
0,268,529,538
0,269,531,544
0,270,532,549
0,271,533,554
0,272,536,560
0,273,537,565
0,274,539,570
0,275,541,573
0,276,543,578
0,277,545,581
0,278,546,585
0,279,548,588
0,280,549,590
0,281,550,592
0,282,552,593
0,283,553,595
0,284,554,595
0,285,555,596
0,286,555,597
0,287,556,597
0,288,556,598
0,289,557,598
0,290,558,598
0,291,558,598
0,292,558,598
0,293,558,598
0,294,558,598
0,295,558,598
0,296,558,598
0,297,558,598
0,298,558,598
0,299,559,598
0,300,559,598
0,301,559,598
0,302,560,597
0,303,561,596
0,304,562,594
0,305,563,592
0,306,566,589
0,307,568,587
0,308,569,584
0,309,570,582
0,310,573,579
0,311,575,576
0,312,577,573
0,313,581,568
0,314,583,564
0,315,584,561
0,316,589,554
0,317,592,550
0,318,595,546
0,319,599,540
0,320,602,534
0,321,606,530
0,322,608,524
0,323,611,519
0,324,614,514
1,325,312,328
1,326,311,337
1,327,311,343
1,328,311,349
1,329,311,359
1,330,311,366
1,331,311,372
1,332,311,382
1,333,311,389
1,334,311,396
1,335,310,408
1,336,310,414
1,337,310,422
1,338,311,433
1,339,311,441
1,340,311,448
1,341,312,458
1,342,313,468
1,343,314,475
1,344,314,485
1,345,315,493
1,346,316,500
1,347,317,509
1,348,317,514
1,349,318,521
1,350,319,528
1,351,320,534
1,352,321,540
1,353,324,548
1,354,324,554
1,355,325,558
1,356,327,566
1,357,327,569
1,358,330,576
1,359,330,579
1,360,331,583
1,361,333,588
1,362,334,591
1,363,335,594
1,364,336,597
1,365,338,600
1,366,338,601
1,367,340,604
1,368,341,604
1,369,342,606
1,370,343,606
1,371,344,606
1,372,344,606
1,373,344,606
1,374,345,606
1,375,345,606
1,376,346,606
1,377,347,606
1,378,348,606
1,379,349,606
1,380,351,604
1,381,352,603
1,382,356,600
1,383,359,598
1,384,364,593
1,385,366,590
1,386,372,586
1,387,375,582
1,388,380,578
1,389,385,572
1,390,389,567
1,391,394,561
1,392,397,556
1,393,404,550
1,394,410,543
1,395,416,536
1,396,421,530
1,397,425,526
1,398,431,518
1,399,437,510
1,400,440,506
1,401,448,494
1,402,452,489
1,403,457,481
1,404,461,475
1,405,465,467
1,406,469,459
1,407,472,453
1,408,478,444
1,409,483,437
1,410,486,429
1,411,489,425
1,412,491,419
1,413,494,416
1,414,496,411
1,415,497,409
1,416,499,407
1,417,500,405
1,418,500,405
1,419,501,405
1,420,501,404
1,421,501,404
1,422,501,404
1,423,501,404
1,424,501,404
1,425,501,404
1,426,501,404
1,427,501,404
1,428,501,404
1,429,501,404
1,430,501,404
1,431,501,404
1,432,501,405
1,433,501,406
1,434,501,408
1,435,501,411
1,436,501,417
1,437,501,423
1,438,501,432
1,439,502,439
1,440,502,447
1,441,502,455
1,442,502,464
1,443,502,473
1,444,502,482
1,445,503,491
1,446,504,501
1,447,504,511
1,448,504,516
1,449,505,528
1,450,507,537
1,451,508,544
1,452,511,555
1,453,513,565
1,454,516,575
1,455,518,584
1,456,521,592
1,457,526,604
1,458,529,611
1,459,532,620
1,460,537,626
1,461,543,633
1,462,546,637
1,463,549,640
1,464,553,642
1,465,556,643
1,466,560,644
1,467,564,646
1,468,567,647
1,469,570,648
1,470,574,648
1,471,578,648
1,472,582,647
1,473,587,644
1,474,590,642
1,475,596,636
1,476,603,630
1,477,613,622
1,478,623,612
1,479,635,601
1,480,648,587
1,481,660,574
1,482,673,561
1,483,686,545
1,484,699,530
1,485,709,518
1,486,721,501
1,487,732,485
1,488,748,461
1,489,756,450
1,490,769,430
1,491,781,411
1,492,791,391
1,493,806,366
1,494,816,349
1,495,826,331
1,496,832,318
1,497,843,297
1,498,852,281
1,499,859,264
2,500,119,286
2,501,120,293
2,502,121,299
2,503,121,306
2,504,122,313
2,505,123,320
2,506,124,327
2,507,125,337
2,508,126,346
2,509,127,354
2,510,128,364
2,511,129,374
2,512,130,384
